YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,DEP_DEL15,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE
2019,1,3,11,1,RU,VQBLR,RU119 ,SVO,PVG,925,940,15,1820,1820,0,0,0,0,0,535,520,4102
2018,4,10,1,1,RU,VQBRH,RU119 ,SVO,PVG,1155,1150,-5,2045,2030,-15,0,0,0,0,530,520,4063
2017,1,1,2,1,RU,VQBRJ,RU119 ,SVO,PVG,1020,1014,-6,1900,1814,-46,0,0,0,0,520,480,3987
2017,1,3,20,1,RU,VQBRJ,RU119 ,SVO,PVG,1020,1026,6,1900,1859,-1,0,0,0,0,520,513,3987
2017,1,3,27,1,RU,VQBRJ,RU119 ,SVO,PVG,1015,900,-75,1905,1815,-50,0,0,0,0,530,555,4063
2018,1,1,29,1,RU,VQBRJ,RU119 ,SVO,PVG,715,806,51,1600,1650,50,1,1,0,0,525,524,4025
2018,1,3,19,1,RU,VQBRJ,RU119 ,SVO,PVG,715,1315,360,1600,2205,365,1,1,0,0,525,530,4025
2018,2,6,11,1,RU,VQBRJ,RU119 ,SVO,PVG,1015,1003,-12,1905,1853,-12,0,0,0,0,530,530,4063
2018,4,10,29,1,RU,VQBRJ,RU119 ,SVO,PVG,705,1638,573,1600,54,534,1,1,0,0,535,496,4102
2018,4,12,31,1,RU,VQBRJ,RU119 ,SVO,PVG,705,705,0,1600,1540,-20,0,0,0,0,535,515,4102
2019,1,1,28,1,RU,VQBRJ,RU119 ,SVO,PVG,705,951,166,1600,1855,175,1,1,0,0,535,544,4102
2017,3,9,26,2,RU,VQBVR,RU119 ,SVO,PVG,910,220,-410,1800,1102,-418,0,0,0,0,530,522,4063
2018,1,1,1,1,RU,VQBVR,RU119 ,SVO,PVG,715,728,13,1600,1622,22,0,1,0,0,525,534,4025
